Team,Teams ,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16 ,Week 17
1,ARI,0,0,1,1,0,1,0,,0,1,0,1,1,1,0,1,0
2,ATL,0,1,0,1,,1,0,0,0,1,0,1,1,1,0,0,1
3,BAL,0,1,0,1,0,1,0,1,0,,0,1,1,0,0,1,1
4,BUF,1,0,1,0,0,,1,1,0,1,0,0,1,1,1,0,0
5,CAR,0,1,1,0,0,1,0,0,1,1,,0,0,1,1,1,0
6,CHI,1,0,1,0,1,0,1,0,,1,1,0,1,0,0,1,0
7,CIN,1,1,0,0,1,,0,1,0,0,0,1,1,1,0,1,0
8,CLE,1,0,0,1,1,0,1,1,,0,1,0,0,1,1,0,0
9,DAL,1,0,0,1,1,,0,0,1,0,1,1,1,0,0,1,0
10,DEN,1,1,0,1,,1,0,0,0,1,1,0,0,1,0,0,1
11,DET,1,0,1,0,1,0,,1,0,1,0,1,0,0,1,0,1
12,GB,1,0,1,1,0,0,1,,1,0,1,0,1,0,0,1,0
13,HOU,1,0,0,1,1,1,,0,1,0,1,0,0,1,0,1,0
14,IND,0,1,1,0,1,0,1,0,0,1,,1,0,0,1,0,1
15,JAX,0,1,1,0,0,1,0,,1,1,0,0,1,1,1,0,0
16,KC,0,1,0,1,0,1,0,1,0,,0,1,0,1,1,1,0
17,LAC,0,1,1,1,0,0,1,0,,0,1,0,1,1,0,0,1
18,LAR,1,1,0,0,1,0,1,,0,1,0,1,0,1,0,0,1
19,MIA,,0,0,1,1,0,1,0,1,0,1,0,1,1,0,0,1
20,MIN,1,0,1,1,0,1,1,0,,0,1,0,0,0,1,0,1
21,NE,1,0,1,1,0,0,1,1,,0,0,1,0,0,0,1,1
22,NO,0,1,0,0,,1,0,1,1,0,1,0,1,0,1,1,0
23,NYG,0,1,0,0,1,0,1,,1,0,1,0,0,1,1,0,1
24,NYJ,0,0,1,1,0,1,0,1,1,0,,1,1,0,0,1,0
25,OAK,0,1,0,0,1,1,1,0,0,,1,1,1,0,1,0,0
26,PHI,0,0,1,0,1,0,1,1,1,,0,1,0,0,0,1,1
27,PIT,0,1,0,0,1,0,1,0,,0,1,1,0,1,1,0,1
28,SF,1,0,1,0,0,0,1,0,1,1,,1,0,0,1,1,0
29,SEA,0,1,0,1,0,,0,1,1,0,1,0,1,0,1,0,1
30,TB,0,1,0,1,1,0,0,1,0,1,0,0,0,1,1,0,1
31,TEN,1,0,1,0,0,1,0,,1,1,0,0,1,0,0,1,1
32,WSH,1,0,1,0,,1,0,1,0,1,0,1,0,0,1,1,0
